K,D,maskSeed,chainSeed,inforate
15.0,4.0,104.0,102.0,-3.5866101006512663
15.0,4.0,104.0,103.0,-3.5872412686510753
15.0,4.0,104.0,104.0,-3.587461791600902
15.0,4.0,105.0,101.0,-3.5511019447340253
15.0,4.0,105.0,102.0,-3.5511817668071015
15.0,4.0,105.0,103.0,-3.550770613642662
15.0,4.0,105.0,104.0,-3.5512374049520163
15.0,5.0,101.0,101.0,-3.583122372993709
15.0,5.0,101.0,102.0,-3.583737627729109
15.0,5.0,101.0,103.0,-3.583280627369181
15.0,5.0,101.0,104.0,-3.5840898320218106
15.0,5.0,102.0,101.0,-3.6230607520900078
15.0,5.0,102.0,102.0,-3.622961811240052
15.0,5.0,102.0,103.0,-3.623710087084378
15.0,5.0,102.0,104.0,-3.622978493281317
15.0,5.0,103.0,101.0,-3.5972393886836334
15.0,5.0,103.0,102.0,-3.598229308822181
15.0,5.0,103.0,103.0,-3.6213058669183558
15.0,5.0,103.0,104.0,-3.599526286862659
15.0,5.0,104.0,101.0,-3.5967755489959155
15.0,5.0,104.0,102.0,-3.59726426776917
15.0,5.0,104.0,103.0,-3.596688994006079
15.0,5.0,104.0,104.0,-3.595712533984981
15.0,5.0,105.0,101.0,-3.557787483401848
15.0,5.0,105.0,102.0,-3.558207605373046
15.0,5.0,105.0,103.0,-3.5574415007066853
15.0,5.0,105.0,104.0,-3.5574847763339013
1.0,1.0,101.0,101.0,-3.72787116349711
1.0,1.0,101.0,102.0,-3.7280782568592823
1.0,1.0,101.0,103.0,-3.727908736045704
1.0,1.0,101.0,104.0,-3.7279434725129823
1.0,1.0,102.0,101.0,-3.757834840394145
1.0,1.0,102.0,102.0,-3.7578530405507307
1.0,1.0,102.0,103.0,-3.7578203885048262
1.0,1.0,102.0,104.0,-3.7578903613115573
1.0,1.0,103.0,101.0,-3.733014786794147
1.0,1.0,103.0,102.0,-3.733133870247523
1.0,1.0,103.0,103.0,-3.7330302600277774
1.0,1.0,103.0,104.0,-3.7330463273336605
1.0,1.0,104.0,101.0,-3.733534426277351
1.0,1.0,104.0,102.0,-3.7335860959026252
1.0,1.0,104.0,103.0,-3.7335455980310632
1.0,1.0,104.0,104.0,-3.733533774927557
1.0,1.0,105.0,101.0,-3.7128943494700684
1.0,1.0,105.0,102.0,-3.7129310584427135
1.0,1.0,105.0,103.0,-3.712965714916573
1.0,1.0,105.0,104.0,-3.712839849656857
1.0,2.0,101.0,101.0,-3.716360990359251
1.0,2.0,101.0,102.0,-3.7162495650849316
1.0,2.0,101.0,103.0,-3.7163661865301174
1.0,2.0,101.0,104.0,-3.716428787694658
1.0,2.0,102.0,101.0,-3.755771774511119
1.0,2.0,102.0,102.0,-3.7554582800303016
1.0,2.0,102.0,103.0,-3.7553837716684035
1.0,2.0,102.0,104.0,-3.7554946339185036
1.0,2.0,103.0,101.0,-3.7239655340135096
1.0,2.0,103.0,102.0,-3.7238465419684346
1.0,2.0,103.0,103.0,-3.7239490300603673
1.0,2.0,103.0,104.0,-3.7239343238084723
1.0,2.0,104.0,101.0,-3.72462328725684
1.0,2.0,104.0,102.0,-3.724594912122909
1.0,2.0,104.0,103.0,-3.7246611972136723
1.0,2.0,104.0,104.0,-3.7247027162094524
1.0,2.0,105.0,101.0,-3.697456107389575
1.0,2.0,105.0,102.0,-3.6975827792580227
1.0,2.0,105.0,103.0,-3.6973698270395188
1.0,2.0,105.0,104.0,-3.6974424054162065
1.0,3.0,101.0,101.0,-3.747063024599163
1.0,3.0,101.0,102.0,-3.746921831064639
1.0,3.0,101.0,103.0,-3.7470010825491884
1.0,3.0,101.0,104.0,-3.7469567864117703
1.0,3.0,102.0,101.0,-3.7922672545550564
1.0,3.0,102.0,102.0,-3.792202952972453
1.0,3.0,102.0,103.0,-3.7922749518563954
1.0,3.0,102.0,104.0,-3.7923039840023973
1.0,3.0,103.0,101.0,-3.7563353887763133
1.0,3.0,103.0,102.0,-3.7562459694241888
1.0,3.0,103.0,103.0,-3.7562250898845178
1.0,3.0,103.0,104.0,-3.7561824738125624
1.0,3.0,104.0,101.0,-3.7567390061055645
1.0,3.0,104.0,102.0,-3.7566163634968377
1.0,3.0,104.0,103.0,-3.7566941139361503
1.0,3.0,104.0,104.0,-3.7565212935438237
1.0,3.0,105.0,101.0,-3.7262389829153237
1.0,3.0,105.0,102.0,-3.726213961868618
1.0,3.0,105.0,103.0,-3.7263214450836637
1.0,3.0,105.0,104.0,-3.7263086942956836
1.0,4.0,101.0,101.0,-3.784605096795114
1.0,4.0,101.0,102.0,-3.784773694745527
1.0,4.0,101.0,103.0,-3.7847020518275736
1.0,4.0,101.0,104.0,-3.7847097232449967
1.0,4.0,102.0,101.0,-3.8346490141586513
1.0,4.0,102.0,102.0,-3.8346708882903244
1.0,4.0,102.0,103.0,-3.834730887909749
1.0,4.0,102.0,104.0,-3.8348450521465223
1.0,4.0,103.0,101.0,-3.795548457043502
1.0,4.0,103.0,102.0,-3.7954952682138043
1.0,4.0,103.0,103.0,-3.7953880372868727
1.0,4.0,103.0,104.0,-3.7953078841141537
1.0,4.0,104.0,101.0,-3.7956689562404775
1.0,4.0,104.0,102.0,-3.795608636783837
1.0,4.0,104.0,103.0,-3.7956444683112207
1.0,4.0,104.0,104.0,-3.795579781348898
1.0,4.0,105.0,101.0,-3.7632091395358964
1.0,4.0,105.0,102.0,-3.7630836839540622
1.0,4.0,105.0,103.0,-3.763340653879175
1.0,4.0,105.0,104.0,-3.7630835906061857
1.0,5.0,101.0,101.0,-3.8229319109528452
1.0,5.0,101.0,102.0,-3.8228565285936034
1.0,5.0,101.0,103.0,-3.822849145819309
1.0,5.0,101.0,104.0,-3.822768172728406
1.0,5.0,102.0,101.0,-3.87674882380054
1.0,5.0,102.0,102.0,-3.8766315860700624
1.0,5.0,102.0,103.0,-3.8769272201232856
