originnum,destnum,origin,destination,cluster,originlon,originlat,destlon,destlat
52,5,MCO,BDL,4,-81.30899810791016,28.429399490356445,-72.688066,41.93851
52,6,MCO,BFM,4,-81.30899810791016,28.429399490356445,-88.06809997559999,30.626800537100003
52,10,MCO,BMI,3,-81.30899810791016,28.429399490356445,-88.915901,40.4771
52,11,MCO,BNA,2,-81.30899810791016,28.429399490356445,-86.6782,36.1245
52,12,MCO,BOS,4,-81.30899810791016,28.429399490356445,-71.0079,42.36197
52,13,MCO,BTV,4,-81.30899810791016,28.429399490356445,-73.153297,44.471901
52,14,MCO,BUF,4,-81.30899810791016,28.429399490356445,-78.732201,42.940498
52,15,MCO,BWI,4,-81.30899810791016,28.429399490356445,-76.668297,39.1754
52,19,MCO,CLE,4,-81.30899810791016,28.429399490356445,-81.8498,41.411701
52,20,MCO,CLT,2,-81.30899810791016,28.429399490356445,-80.94309997558594,35.2140007019043
52,21,MCO,CMH,4,-81.30899810791016,28.429399490356445,-82.891899,39.998001
52,22,MCO,COS,1,-81.30899810791016,28.429399490356445,-104.700996,38.805801
52,23,MCO,CVG,4,-81.30899810791016,28.429399490356445,-84.667801,39.048801
52,25,MCO,DEN,3,-81.30899810791016,28.429399490356445,-104.672996521,39.861698150635
52,26,MCO,DFW,1,-81.30899810791016,28.429399490356445,-97.038002,32.896801
52,27,MCO,DSM,3,-81.30899810791016,28.429399490356445,-93.663101,41.534
52,28,MCO,DTW,2,-81.30899810791016,28.429399490356445,-83.353786,42.21377
52,30,MCO,EWR,4,-81.30899810791016,28.429399490356445,-74.168701,40.692501
52,36,MCO,GRB,3,-81.30899810791016,28.429399490356445,-88.130805,44.483459
52,37,MCO,GRR,2,-81.30899810791016,28.429399490356445,-85.52279663,42.88079834
52,38,MCO,GSP,4,-81.30899810791016,28.429399490356445,-82.218903,34.895699
52,40,MCO,HSV,2,-81.30899810791016,28.429399490356445,-86.775101,34.637199
52,41,MCO,IAD,4,-81.30899810791016,28.429399490356445,-77.455803,38.9445
52,42,MCO,IAH,2,-81.30899810791016,28.429399490356445,-95.34140014648438,29.984399795532227
52,44,MCO,IND,3,-81.30899810791016,28.429399490356445,-86.294403,39.7173
52,45,MCO,ISP,4,-81.30899810791016,28.429399490356445,-73.10019684,40.79520035
52,47,MCO,LAS,3,-81.30899810791016,28.429399490356445,-115.151817,36.083361
52,49,MCO,LGA,4,-81.30899810791016,28.429399490356445,-73.872597,40.777199
52,51,MCO,MCI,1,-81.30899810791016,28.429399490356445,-94.713898,39.2976
52,53,MCO,MDT,4,-81.30899810791016,28.429399490356445,-76.763397,40.193501
52,54,MCO,MEM,1,-81.30899810791016,28.429399490356445,-89.9767,35.0424
52,56,MCO,MKE,2,-81.30899810791016,28.429399490356445,-87.896599,42.947201
52,57,MCO,MSN,3,-81.30899810791016,28.429399490356445,-89.337502,43.1399
52,59,MCO,MSP,1,-81.30899810791016,28.429399490356445,-93.221741,44.880081
52,60,MCO,MSY,1,-81.30899810791016,28.429399490356445,-90.258003,29.993401
52,62,MCO,OKC,1,-81.30899810791016,28.429399490356445,-97.598248,35.393388
52,63,MCO,OMA,1,-81.30899810791016,28.429399490356445,-95.894096,41.3032
52,64,MCO,ONT,1,-81.30899810791016,28.429399490356445,-117.600998,34.056
52,65,MCO,ORD,3,-81.30899810791016,28.429399490356445,-87.9048,41.9786
52,66,MCO,ORF,4,-81.30899810791016,28.429399490356445,-76.201,36.895341
52,69,MCO,PHL,4,-81.30899810791016,28.429399490356445,-75.241096,39.871899
52,71,MCO,PIT,2,-81.30899810791016,28.429399490356445,-80.232903,40.491501
52,74,MCO,PVD,4,-81.30899810791016,28.429399490356445,-71.425668,41.725038
52,75,MCO,PWM,4,-81.30899810791016,28.429399490356445,-70.309303,43.646198
52,76,MCO,RDU,2,-81.30899810791016,28.429399490356445,-78.787498,35.877602
52,79,MCO,SAN,1,-81.30899810791016,28.429399490356445,-117.190002441,32.7336006165
52,80,MCO,SAT,1,-81.30899810791016,28.429399490356445,-98.469803,29.533701
52,82,MCO,SDF,2,-81.30899810791016,28.429399490356445,-85.736,38.1744
52,86,MCO,SJU,4,-81.30899810791016,28.429399490356445,-66.001801,18.4394
52,90,MCO,SRQ,4,-81.30899810791016,28.429399490356445,-82.554359,27.394631
52,91,MCO,STL,3,-81.30899810791016,28.429399490356445,-90.370003,38.748697
52,92,MCO,SYR,4,-81.30899810791016,28.429399490356445,-76.1063003540039,43.11119842529297
52,94,MCO,TTN,4,-81.30899810791016,28.429399490356445,-74.813499,40.276699
52,98,MCO,TYS,2,-81.30899810791016,28.429399490356445,-83.994003,35.811001
53,52,MDT,MCO,3,-76.763397,40.193501,-81.30899810791016,28.429399490356445
54,25,MEM,DEN,2,-89.9767,35.0424,-104.672996521,39.861698150635
54,52,MEM,MCO,4,-89.9767,35.0424,-81.30899810791016,28.429399490356445
55,3,MIA,ATL,4,-80.29060363769531,25.79319953918457,-84.428101,33.6367
