originnum,destnum,origin,destination,cluster,logprob,originlon,originlat,destlon,destlat
31,70,FAR,PHX,1,0.9999999956600164,-96.81580352783203,46.92070007324219,-112.005905,33.435302
32,25,FAT,DEN,4,1.0,-119.718002,36.776199,-104.672996521,39.861698150635
33,19,FLL,CLE,4,0.9999999999999648,-80.152702,26.072599,-81.8498,41.411701
33,23,FLL,CVG,1,0.9999999999357952,-80.152702,26.072599,-84.667801,39.048801
33,25,FLL,DEN,5,0.9851472799210838,-80.152702,26.072599,-104.672996521,39.861698150635
33,45,FLL,ISP,4,1.0,-80.152702,26.072599,-73.10019684,40.79520035
33,94,FLL,TTN,4,1.0,-80.152702,26.072599,-74.813499,40.276699
34,25,FSD,DEN,4,0.9999999999962617,-96.741152,43.585463,-104.672996521,39.861698150635
35,25,GEG,DEN,1,0.9997717253914506,-117.533997,47.6199,-104.672996521,39.861698150635
35,47,GEG,LAS,1,0.9999999999998058,-117.533997,47.6199,-115.151817,36.083361
35,83,GEG,SEA,4,0.9893434255951089,-117.533997,47.6199,-122.310276,47.447943
36,25,GRB,DEN,4,0.9999400554825301,-88.130805,44.483459,-104.672996521,39.861698150635
36,52,GRB,MCO,4,1.0,-88.130805,44.483459,-81.30899810791016,28.429399490356445
37,25,GRR,DEN,4,0.9999999999794568,-85.52279663,42.88079834,-104.672996521,39.861698150635
37,52,GRR,MCO,4,1.0,-85.52279663,42.88079834,-81.30899810791016,28.429399490356445
37,70,GRR,PHX,5,0.9999993165534753,-85.52279663,42.88079834,-112.005905,33.435302
37,78,GRR,RSW,4,1.0,-85.52279663,42.88079834,-81.75520324707031,26.53619956970215
37,93,GRR,TPA,4,1.0,-85.52279663,42.88079834,-82.533203,27.9755
38,25,GSP,DEN,3,0.9999999999998179,-82.218903,34.895699,-104.672996521,39.861698150635
38,52,GSP,MCO,4,1.0,-82.218903,34.895699,-81.30899810791016,28.429399490356445
39,25,HRL,DEN,4,1.0,-97.65440368652344,26.228500366210938,-104.672996521,39.861698150635
40,52,HSV,MCO,4,0.9999999984558342,-86.775101,34.637199,-81.30899810791016,28.429399490356445
41,4,IAD,AUS,3,0.9999999160326135,-77.455803,38.9445,-97.662015,30.197535
41,52,IAD,MCO,5,0.9999982040653944,-77.455803,38.9445,-81.30899810791016,28.429399490356445
42,25,IAH,DEN,4,1.0,-95.34140014648438,29.984399795532227,-104.672996521,39.861698150635
42,39,IAH,HRL,4,0.9998939756444719,-95.34140014648438,29.984399795532227,-97.65440368652344,26.228500366210938
42,47,IAH,LAS,1,0.9999999999999944,-95.34140014648438,29.984399795532227,-115.151817,36.083361
42,52,IAH,MCO,4,1.0,-95.34140014648438,29.984399795532227,-81.30899810791016,28.429399490356445
43,25,ICT,DEN,4,0.9999999983705379,-97.433098,37.649899,-104.672996521,39.861698150635
44,25,IND,DEN,1,1.0,-86.294403,39.7173,-104.672996521,39.861698150635
44,47,IND,LAS,5,0.9999999978371924,-86.294403,39.7173,-115.151817,36.083361
44,52,IND,MCO,4,1.0,-86.294403,39.7173,-81.30899810791016,28.429399490356445
44,78,IND,RSW,4,0.9999999999999999,-86.294403,39.7173,-81.75520324707031,26.53619956970215
45,3,ISP,ATL,3,0.999999999996931,-73.10019684,40.79520035,-84.428101,33.6367
45,33,ISP,FLL,5,1.0,-73.10019684,40.79520035,-80.152702,26.072599
45,52,ISP,MCO,5,1.0,-73.10019684,40.79520035,-81.30899810791016,28.429399490356445
