"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2014 General Election","DELAWARE","Representative in the General Assembly","166th Legislative District","Democratic","VITALI, GREGORY S","11,643","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","168th Legislative District","Republican","KILLION, THOMAS H","16,397","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","185th Legislative District","Democratic","DONATUCCI, MARIA P","2,908","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","191st Legislative District","Democratic","WATERS, RONALD GRANVILLE","3,899","0","0","","","","","","","","",""
"2014 General Election","ELK","Representative in the General Assembly","75th Legislative District","Republican","GABLER, MATTHEW M","6,252","0","0","","","","","","","","",""
"2014 General Election","ELK","Representative in the General Assembly","75th Legislative District","Democratic","DONAHUE, JOHN F","2,553","0","0","","","","","","","","",""
"2014 General Election","ERIE","Senator in the General Assembly","50th Senatorial District","Republican","BROOKS, MICHELE","5,764","0","0","","","","","","","","",""
"2014 General Election","ERIE","Senator in the General Assembly","50th Senatorial District","Democratic","MUHA, MICHAEL T","3,155","0","0","","","","","","","","",""
"2014 General Election","ERIE","Representative in the General Assembly","1st Legislative District","Democratic","HARKINS, PATRICK J","9,146","0","0","","","","","","","","",""
"2014 General Election","ERIE","Representative in the General Assembly","2nd Legislative District","Democratic","FABRIZIO, FLORINDO J","11,214","0","0","","","","","","","","",""
"2014 General Election","ERIE","Representative in the General Assembly","3rd Legislative District","Republican","LOFGREN, LUKE E","7,175","0","0","","","","","","","","",""
"2014 General Election","ERIE","Representative in the General Assembly","3rd Legislative District","Democratic","BIZZARRO, RYAN A","13,155","0","0","","","","","","","","",""
"2014 General Election","ERIE","Representative in the General Assembly","4th Legislative District","Republican","SONNEY, CURTIS G","10,762","0","0","","","","","","","","",""
"2014 General Election","ERIE","Representative in the General Assembly","4th Legislative District","Democratic","SMITH, CURTIS  BRIAN","6,124","0","0","","","","","","","","",""
"2014 General Election","ERIE","Representative in the General Assembly","6th Legislative District","Republican","ROAE, BRADLEY T","3,298","0","0","","","","","","","","",""
"2014 General Election","ERIE","Representative in the General Assembly","6th Legislative District","Democratic","SHUTSA, JUANITA KAY","1,831","0","0","","","","","","","","",""
"2014 General Election","ERIE","Representative in the General Assembly","17th Legislative District","Republican","WENTLING, PARKE H","2,669","0","0","","","","","","","","",""
"2014 General Election","ERIE","Representative in the General Assembly","17th Legislative District","Democratic","HANSON, WAYNE E","2,106","0","0","","","","","","","","",""
"2014 General Election","FAYETTE","Senator in the General Assembly","32nd Senatorial District","Republican","STEFANO, PATRICK J","14,765","0","0","","","","","","","","",""
"2014 General Election","FAYETTE","Senator in the General Assembly","32nd Senatorial District","Democratic","KULA, DEBERAH L","16,395","0","0","","","","","","","","",""
"2014 General Election","FAYETTE","Representative in the General Assembly","49th Legislative District","Republican","COOK, DONALD","1,167","0","0","","","","","","","","",""
"2014 General Election","FAYETTE","Representative in the General Assembly","49th Legislative District","Democratic","DALEY, PETER JOHN","1,596","0","0","","","","","","","","",""
"2014 General Election","FAYETTE","Representative in the General Assembly","50th Legislative District","Democratic","SNYDER, PAM","2,976","0","0","","","","","","","","",""
"2014 General Election","FAYETTE","Representative in the General Assembly","51st Legislative District","Democratic","MAHONEY, TIMOTHY S","8,324","0","0","","","","","","","","",""
"2014 General Election","FAYETTE","Representative in the General Assembly","52nd Legislative District","Republican","WARNER, RYAN","6,824","0","0","","","","","","","","",""
"2014 General Election","FAYETTE","Representative in the General Assembly","52nd Legislative District","Democratic","BONI, ANDREW J","6,540","0","0","","","","","","","","",""
"2014 General Election","FOREST","Representative in the General Assembly","63rd Legislative District","Republican","OBERLANDER, DONNA R","454","0","0","","","","","","","","",""
"2014 General Election","FOREST","Representative in the General Assembly","65th Legislative District","Republican","RAPP, KATHY L","747","0","0","","","","","","","","",""
"2014 General Election","FOREST","Representative in the General Assembly","65th Legislative District","Democratic","ANDERSON, TOBY","333","0","0","","","","","","","","",""
"2014 General Election","FRANKLIN","Senator in the General Assembly","30th Senatorial District","Republican","EICHELBERGER, JOHN H JR","9,259","0","0","","","","","","","","",""
"2014 General Election","FRANKLIN","Representative in the General Assembly","78th Legislative District","Republican","TOPPER, JESSE W","2,746","0","0","","","","","","","","",""
"2014 General Election","FRANKLIN","Representative in the General Assembly","82nd Legislative District","Republican","HARRIS, CHRISTOPHER ADAM","2,028","0","0","","","","","","","","",""
"2014 General Election","FRANKLIN","Representative in the General Assembly","89th Legislative District","Republican","KAUFFMAN, ROBERT W","13,717","0","0","","","","","","","","",""
"2014 General Election","FRANKLIN","Representative in the General Assembly","90th Legislative District","Republican","SCHEMEL, PAUL","12,148","0","0","","","","","","","","",""
"2014 General Election","FRANKLIN","Representative in the General Assembly","90th Legislative District","No Affiliation","HORNBARGER, WILLIAM M","2,718","0","0","","","","","","","","",""
"2014 General Election","FULTON","Senator in the General Assembly","30th Senatorial District","Republican","EICHELBERGER, JOHN H JR","3,264","0","0","","","","","","","","",""
"2014 General Election","FULTON","Representative in the General Assembly","78th Legislative District","Republican","TOPPER, JESSE W","3,238","0","0","","","","","","","","",""
"2014 General Election","GREENE","Senator in the General Assembly","46th Senatorial District","Republican","BARTOLOTTA, CAMERA C","4,588","0","0","","","","","","","","",""
"2014 General Election","GREENE","Senator in the General Assembly","46th Senatorial District","Democratic","SOLOBAY, TIMOTHY J","4,629","0","0","","","","","","","","",""
"2014 General Election","GREENE","Representative in the General Assembly","50th Legislative District","Democratic","SNYDER, PAM","7,199","0","0","","","","","","","","",""
"2014 General Election","HUNTINGDON","Senator in the General Assembly","30th Senatorial District","Republican","EICHELBERGER, JOHN H JR","7,008","0","0","","","","","","","","",""
"2014 General Election","HUNTINGDON","Senator in the General Assembly","34th Senatorial District","Republican","CORMAN, JACOB  D III","3,630","0","0","","","","","","","","",""
"2014 General Election","HUNTINGDON","Representative in the General Assembly","81st Legislative District","Republican","IRVIN, RICH","7,255","0","0","","","","","","","","",""
"2014 General Election","HUNTINGDON","Representative in the General Assembly","81st Legislative District","Democratic","FLECK, MIKE","5,579","0","0","","","","","","","","",""
"2014 General Election","INDIANA","Representative in the General Assembly","55th Legislative District","Republican","PANICHELLE, BRIAN E","54","0","0","","","","","","","","",""
"2014 General Election","INDIANA","Representative in the General Assembly","55th Legislative District","Democratic","PETRARCA, JOSEPH A","163","0","0","","","","","","","","",""
"2014 General Election","INDIANA","Representative in the General Assembly","60th Legislative District","Republican","PYLE, JEFFREY P","1,078","0","0","","","","","","","","",""
"2014 General Election","INDIANA","Representative in the General Assembly","62nd Legislative District","Republican","REED, DAVID L","10,747","0","0","","","","","","","","",""
"2014 General Election","INDIANA","Representative in the General Assembly","62nd Legislative District","Democratic","FREEBERG, KEVIN","5,681","0","0","","","","","","","","",""
"2014 General Election","INDIANA","Representative in the General Assembly","66th Legislative District","Republican","DUSH, CRIS","3,162","0","0","","","","","","","","",""
"2014 General Election","INDIANA","Representative in the General Assembly","66th Legislative District","Democratic","SANTIK, ROBERT TOBY","1,256","0","0","","","","","","","","",""
"2014 General Election","JEFFERSON","Representative in the General Assembly","66th Legislative District","Republican","DUSH, CRIS","8,615","0","0","","","","","","","","",""
"2014 General Election","JEFFERSON","Representative in the General Assembly","66th Legislative District","Democratic","SANTIK, ROBERT TOBY","3,311","0","0","","","","","","","","",""
"2014 General Election","JUNIATA","Senator in the General Assembly","34th Senatorial District","Republican","CORMAN, JACOB  D III","5,581","0","0","","","","","","","","",""
"2014 General Election","JUNIATA","Representative in the General Assembly","82nd Legislative District","Republican","HARRIS, CHRISTOPHER ADAM","5,453","0","0","","","","","","","","",""
"2014 General Election","LACKAWANNA","Senator in the General Assembly","22nd Senatorial District","Republican","ALBERT, ARTHUR JOSEPH","17,972","0","0","","","","","","","","",""
"2014 General Election","LACKAWANNA","Senator in the General Assembly","22nd Senatorial District","Democratic","BLAKE, JOHN PATRICK","40,756","0","0","","","","","","","","",""
"2014 General Election","LACKAWANNA","Representative in the General Assembly","112th Legislative District","Democratic","FARINA, FRANK A","14,162","0","0","","","","","","","","",""
"2014 General Election","LACKAWANNA","Representative in the General Assembly","113th Legislative District","Republican","LISI, MARCEL J","3,932","0","0","","","","","","","","",""
"2014 General Election","LACKAWANNA","Representative in the General Assembly","113th Legislative District","Democratic","FLYNN, MARTIN B II","11,537","0","0","","","","","","","","",""
"2014 General Election","LACKAWANNA","Representative in the General Assembly","114th Legislative District","Republican","MADEIRA, MELANIE RENEE","6,407","0","0","","","","","","","","",""
"2014 General Election","LACKAWANNA","Representative in the General Assembly","114th Legislative District","Democratic","KAVULICH, MICHAEL G","12,981","0","0","","","","","","","","",""
"2014 General Election","LACKAWANNA","Representative in the General Assembly","117th Legislative District","Republican","BOBACK, KAREN","830","0","0","","","","","","","","",""
"2014 General Election","LACKAWANNA","Representative in the General Assembly","117th Legislative District","Democratic","DICKSON, LAURA","471","0","0","","","","","","","","",""
"2014 General Election","LACKAWANNA","Representative in the General Assembly","118th Legislative District","Democratic","CARROLL, MICHAEL B","3,573","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Senator in the General Assembly","36th Senatorial District","Republican","AUMENT, RYAN P","54,058","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Senator in the General Assembly","36th Senatorial District","Democratic","SCHRECKENGOST, GARY J","20,686","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","13th Legislative District","Republican","LAWRENCE, JOHN ADDA","516","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","13th Legislative District","Democratic","SCHOTT, ANN V S","246","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","37th Legislative District","Republican","FEE, MELINDA S","14,078","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","37th Legislative District","Democratic","KRESGE, BRIAN PHILLIP","4,081","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","41st Legislative District","Republican","MILLER, BRETT R","13,196","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","41st Legislative District","Democratic","YODER, ALICE M","9,020","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","43rd Legislative District","Republican","GREINER, KEITH J","12,412","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","43rd Legislative District","Democratic","STONE, STEPHEN","5,061","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","96th Legislative District","Democratic","STURLA, P MICHAEL","8,029","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","97th Legislative District","Republican","MENTZER, STEVEN CURTIS","14,746","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","97th Legislative District","Democratic","HAMPLE, CHARLES","8,117","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","98th Legislative District","Republican","HICKERNELL, DAVID S","10,869","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","98th Legislative District","Democratic","CROCAMO, ANTHONY THOMAS","4,376","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","98th Legislative District","Green","HAZEL, RYAN","593","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","99th Legislative District","Republican","ZIMMERMAN, DAVID H","9,974","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","99th Legislative District","Democratic","SANGUINITO, BRYAN","4,014","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","100th Legislative District","Republican","CUTLER, BRYAN D","11,138","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","128th Legislative District","Republican","GILLEN, MARK M","1,525","0","0","","","","","","","","",""
"2014 General Election","LANCASTER","Representative in the General Assembly","129th Legislative District","Republican","COX, JAMES A JR","2,533","0","0","","","","","","","","",""
"2014 General Election","LAWRENCE","Representative in the General Assembly","9th Legislative District","Republican","CANGEY, GARY J","5,002","0","0","","","","","","","","",""
"2014 General Election","LAWRENCE","Representative in the General Assembly","9th Legislative District","Democratic","SAINATO, CHRISTOPHER","10,085","0","0","","","","","","","","",""
"2014 General Election","LAWRENCE","Representative in the General Assembly","10th Legislative District","Democratic","GIBBONS, JARET A","5,027","0","0","","","","","","","","",""
"2014 General Election","LAWRENCE","Representative in the General Assembly","17th Legislative District","Republican","WENTLING, PARKE H","1,024","0","0","","","","","","","","",""
"2014 General Election","LAWRENCE","Representative in the General Assembly","17th Legislative District","Democratic","HANSON, WAYNE E","291","0","0","","","","","","","","",""
"2014 General Election","LEBANON","Senator in the General Assembly","48th Senatorial District","Republican","FOLMER, MICHAEL J","30,132","0","0","","","","","","","","",""
"2014 General Election","LEBANON","Representative in the General Assembly","101st Legislative District","Republican","GINGRICH, MAUREE A","12,138","0","0","","","","","","","","",""
"2014 General Election","LEBANON","Representative in the General Assembly","101st Legislative District","Democratic","STEPHENS, PATRICIA K","4,799","0","0","","","","","","","","",""
"2014 General Election","LEBANON","Representative in the General Assembly","102nd Legislative District","Republican","DIAMOND, RUSSELL H","7,668","0","0","","","","","","","","",""
"2014 General Election","LEBANON","Representative in the General Assembly","102nd Legislative District","Democratic","LONG, JAKE","4,446","0","0","","","","","","","","",""
"2014 General Election","LEBANON","Representative in the General Assembly","102nd Legislative District","McAteer For House","MCATEER, ROBERT W","3,861","0","0","","","","","","","","",""
"2014 General Election","LEBANON","Representative in the General Assembly","104th Legislative District","Republican","HELM, SUSAN C","1,279","0","0","","","","","","","","",""
"2014 General Election","LEBANON","Representative in the General Assembly","104th Legislative District","Democratic","STILP, EUGENE  P","420","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Senator in the General Assembly","16th Senatorial District","Republican","BROWNE, PATRICK M","36,745","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Senator in the General Assembly","16th Senatorial District","Democratic","FELTON, WALTER JR","22,146","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Senator in the General Assembly","18th Senatorial District","Republican / Democratic","BOSCOLA, LISA  M","19,132","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Representative in the General Assembly","22nd Legislative District","Republican","RAMOS SANTOS, STEVEN","1,928","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Representative in the General Assembly","22nd Legislative District","Democratic","SCHWEYER, PETER G","4,538","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Representative in the General Assembly","131st Legislative District","Republican","SIMMONS, JUSTIN J","7,839","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Representative in the General Assembly","131st Legislative District","Democratic","BEYER, MICHAEL W.","4,923","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Representative in the General Assembly","132nd Legislative District","Democratic","SCHLOSSBERG, MICHAEL","7,899","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Representative in the General Assembly","133rd Legislative District","Republican","MOLONY, DAVID EDGAR","6,170","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Representative in the General Assembly","133rd Legislative District","Democratic","MCNEILL, DANIEL T","7,568","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Representative in the General Assembly","134th Legislative District","Republican","MACKENZIE, RYAN E","10,758","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Representative in the General Assembly","183rd Legislative District","Republican","HARHART, JULIANN L","4,327","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Representative in the General Assembly","183rd Legislative District","Democratic","POWELL, TERRI LYNN","2,276","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Representative in the General Assembly","183rd Legislative District","Independent","MOLOVINSKY, MICHAEL","905","0","0","","","","","","","","",""
"2014 General Election","LEHIGH","Representative in the General Assembly","187th Legislative District","Republican","DAY, GARY","11,475","0","0","","","","","","","","",""
"2014 General Election","LUZERNE","Senator in the General Assembly","14th Senatorial District","Democratic","YUDICHAK, JOHN T","31,314","0","0","","","","","","","","",""
"2014 General Election","LUZERNE","Senator in the General Assembly","20th Senatorial District","Republican","BAKER, ELISABETH  J","17,896","0","0","","","","","","","","",""
"2014 General Election","LUZERNE","Senator in the General Assembly","22nd Senatorial District","Republican","ALBERT, ARTHUR JOSEPH","1,242","0","0","","","","","","","","",""
"2014 General Election","LUZERNE","Senator in the General Assembly","22nd Senatorial District","Democratic","BLAKE, JOHN PATRICK","2,393","0","0","","","","","","","","",""
"2014 General Election","LUZERNE","Representative in the General Assembly","116th Legislative District","Republican / Democratic","TOOHIL, TARAH C","11,710","0","0","","","","","","","","",""
"2014 General Election","LUZERNE","Representative in the General Assembly","117th Legislative District","Republican","BOBACK, KAREN","6,147","0","0","","","","","","","","",""
"2014 General Election","LUZERNE","Representative in the General Assembly","117th Legislative District","Democratic","DICKSON, LAURA","1,735","0","0","","","","","","","","",""
"2014 General Election","LUZERNE","Representative in the General Assembly","118th Legislative District","Democratic","CARROLL, MICHAEL B","8,636","0","0","","","","","","","","",""
"2014 General Election","LUZERNE","Representative in the General Assembly","119th Legislative District","Democratic","MULLERY, GERALD J","9,955","0","0","","","","","","","","",""
"2014 General Election","LUZERNE","Representative in the General Assembly","120th Legislative District","Republican","KAUFER, AARON","9,514","0","0","","","","","","","","",""
"2014 General Election","LUZERNE","Representative in the General Assembly","120th Legislative District","Democratic","CIPRIANI, EILEEN","7,472","0","0","","","","","","","","",""
"2014 General Election","LUZERNE","Representative in the General Assembly","121st Legislative District","Democratic","PASHINSKI, EDWIN","6,928","0","0","","","","","","","","",""
"2014 General Election","LUZERNE","Representative in the General Assembly","121st Legislative District","Libertarian","SUMMERS, BETSY","3,298","0","0","","","","","","","","",""
"2014 General Election","LYCOMING","Representative in the General Assembly","83rd Legislative District","Republican","WHEELAND, JEFF  C","8,382","0","0","","","","","","","","",""
"2014 General Election","LYCOMING","Representative in the General Assembly","83rd Legislative District","Democratic","MIRABITO, RICK","6,785","0","0","","","","","","","","",""
"2014 General Election","LYCOMING","Representative in the General Assembly","84th Legislative District","Republican","EVERETT, GARTH DAVID","12,763","0","0","","","","","","","","",""
"2014 General Election","LYCOMING","Representative in the General Assembly","84th Legislative District","Democratic","HAYES, KRISTEN MARIE","3,095","0","0","","","","","","","","",""
"2014 General Election","McKEAN","Representative in the General Assembly","67th Legislative District","Republican","CAUSER, MARTIN T","7,131","0","0","","","","","","","","",""
"2014 General Election","MERCER","Senator in the General Assembly","50th Senatorial District","Republican","BROOKS, MICHELE","18,342","0","0","","","","","","","","",""
"2014 General Election","MERCER","Senator in the General Assembly","50th Senatorial District","Democratic","MUHA, MICHAEL T","11,507","0","0","","","","","","","","",""
"2014 General Election","MERCER","Representative in the General Assembly","7th Legislative District","Republican / Democratic","LONGIETTI, MARK A","14,930","0","0","","","","","","","","",""
"2014 General Election","MERCER","Representative in the General Assembly","8th Legislative District","Republican","NESBIT, TEDD C","8,092","0","0","","","","","","","","",""
"2014 General Election","MERCER","Representative in the General Assembly","17th Legislative District","Republican","WENTLING, PARKE H","3,521","0","0","","","","","","","","",""
"2014 General Election","MERCER","Representative in the General Assembly","17th Legislative District","Democratic","HANSON, WAYNE E","1,137","0","0","","","","","","","","",""
"2014 General Election","MIFFLIN","Senator in the General Assembly","34th Senatorial District","Republican","CORMAN, JACOB  D III","9,220","0","0","","","","","","","","",""
"2014 General Election","MIFFLIN","Representative in the General Assembly","81st Legislative District","Republican","IRVIN, RICH","357","0","0","","","","","","","","",""
"2014 General Election","MIFFLIN","Representative in the General Assembly","81st Legislative District","Democratic","FLECK, MIKE","265","0","0","","","","","","","","",""
"2014 General Election","MIFFLIN","Representative in the General Assembly","82nd Legislative District","Republican","HARRIS, CHRISTOPHER ADAM","5,407","0","0","","","","","","","","",""
"2014 General Election","MIFFLIN","Representative in the General Assembly","171st Legislative District","Republican","BENNINGHOFF, KERRY ALBERT","3,236","0","0","","","","","","","","",""
"2014 General Election","MONROE","Senator in the General Assembly","22nd Senatorial District","Republican","ALBERT, ARTHUR JOSEPH","1,999","0","0","","","","","","","","",""
"2014 General Election","MONROE","Senator in the General Assembly","22nd Senatorial District","Democratic","BLAKE, JOHN PATRICK","2,567","0","0","","","","","","","","",""
"2014 General Election","MONROE","Senator in the General Assembly","40th Senatorial District","Republican","SCAVELLO, MARIO M","17,791","0","0","","","","","","","","",""
"2014 General Election","MONROE","Senator in the General Assembly","40th Senatorial District","Democratic","AURAND, MARK D","12,115","0","0","","","","","","","","",""
"2014 General Election","MONROE","Representative in the General Assembly","115th Legislative District","Republican","PARKER, DAVID C","5,903","0","0","","","","","","","","",""
"2014 General Election","MONROE","Representative in the General Assembly","115th Legislative District","Democratic","MADDEN, MAUREEN E","5,315","0","0","","","","","","","","",""
"2014 General Election","MONROE","Representative in the General Assembly","176th Legislative District","Republican","RADER, JACK  B JR","8,217","0","0","","","","","","","","",""
"2014 General Election","MONROE","Representative in the General Assembly","176th Legislative District","Democratic","SMITH, HOPE E","5,420","0","0","","","","","","","","",""
"2014 General Election","MONROE","Representative in the General Assembly","189th Legislative District","Republican","BROWN, ROSEMARY","5,883","0","0","","","","","","","","",""
"2014 General Election","MONROE","Representative in the General Assembly","189th Legislative District","Democratic","FORREST, ELIZABETH","3,559","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Senator in the General Assembly","4th Senatorial District","Republican","GILCHRIST, ROBIN MATTHEW","14,609","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Senator in the General Assembly","4th Senatorial District","Democratic","HAYWOOD, ARTHUR L III","29,612","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Senator in the General Assembly","4th Senatorial District","Vote For Ines","REYES, INES","765","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Senator in the General Assembly","12th Senatorial District","Republican","GREENLEAF, STEWART J","35,293","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Senator in the General Assembly","12th Senatorial District","Democratic","DAMSKER, RUTH S","21,246","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Senator in the General Assembly","24th Senatorial District","Republican","MENSCH, ROBERT BRUCE","26,456","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Senator in the General Assembly","24th Senatorial District","Democratic","HANSEN, JACK","18,641","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Senator in the General Assembly","44th Senatorial District","Republican","RAFFERTY, JOHN C JR.","21,031","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Senator in the General Assembly","44th Senatorial District","Democratic","COZZONE, KATHI","13,187","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","26th Legislative District","Republican","HENNESSEY, TIMOTHY F","457","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","53rd Legislative District","Republican","GODSHALL, ROBERT W","11,038","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","53rd Legislative District","Democratic","MILLER, DOROTHY M","6,581","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","61st Legislative District","Republican","HARPER, CATHERINE M","13,744","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","61st Legislative District","Democratic","LEONARD, SUZAN F","8,882","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","70th Legislative District","Democratic","BRADFORD, MATTHEW D","10,573","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","131st Legislative District","Republican","SIMMONS, JUSTIN J","2,540","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","131st Legislative District","Democratic","BEYER, MICHAEL W.","1,697","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","146th Legislative District","Republican","QUIGLEY, THOMAS J","8,840","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","146th Legislative District","Democratic","PAINTER, MARK S SR","8,111","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","147th Legislative District","Republican","TOEPEL, MARCY","13,064","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","148th Legislative District","Republican","FLOCCO, ED","9,039","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","148th Legislative District","Democratic","DALEY, MARY JO","14,726","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","149th Legislative District","Democratic","BRIGGS, TIMOTHY P","13,716","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","150th Legislative District","Republican","VEREB, MICHAEL A","11,964","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","150th Legislative District","Democratic","MCKENZIE, DAVID CRAIG III","6,763","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","151st Legislative District","Republican","STEPHENS, W TODD","13,541","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","152nd Legislative District","Republican","MURT, THOMAS P","13,878","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","153rd Legislative District","Democratic","DEAN CUNNANE, MADELEINE","16,984","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","154th Legislative District","Republican","GILLIES, ROBERT EMMETT JR","6,329","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","154th Legislative District","Democratic","MCCARTER, STEPHEN C","17,553","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","157th Legislative District","Republican","KAMPF, WARREN E","2,125","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","157th Legislative District","Democratic","MOSKOWITZ, MARIAN D","1,569","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","166th Legislative District","Republican","ARMSTRONG, SARAH ELIZABETH","938","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","166th Legislative District","Democratic","VITALI, GREGORY S","2,682","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","172nd Legislative District","Democratic","BOYLE, KEVIN J","494","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","194th Legislative District","Republican","POUNDS, WILLIAM F","1,051","0","0","","","","","","","","",""
"2014 General Election","MONTGOMERY","Representative in the General Assembly","194th Legislative District","Democratic","DELISSIO, PAMELA A","2,772","0","0","","","","","","","","",""
"2014 General Election","MONTOUR","Representative in the General Assembly","107th Legislative District","Republican","MASSER, KURT A","3,708","0","0","","","","","","","","",""
"2014 General Election","MONTOUR","Representative in the General Assembly","107th Legislative District","Libertarian","BURD, JOHN A","900","0","0","","","","","","","","",""
"2014 General Election","NORTHAMPTON","Senator in the General Assembly","18th Senatorial District","Republican / Democratic","BOSCOLA, LISA  M","35,811","0","0","","","","","","","","",""
"2014 General Election","NORTHAMPTON","Senator in the General Assembly","40th Senatorial District","Republican","SCAVELLO, MARIO M","20,626","0","0","","","","","","","","",""
"2014 General Election","NORTHAMPTON","Senator in the General Assembly","40th Senatorial District","Democratic","AURAND, MARK D","13,624","0","0","","","","","","","","",""
"2014 General Election","NORTHAMPTON","Representative in the General Assembly","131st Legislative District","Republican","SIMMONS, JUSTIN J","1,676","0","0","","","","","","","","",""
