,home,away,hometeam,awayteam
590,42,32,27,3
591,31,34,5,29
592,29,40,7,19
593,15,31,10,22
594,31,41,26,14
595,36,35,9,23
596,28,25,28,25
597,25,27,12,4
598,25,27,16,2
599,31,35,15,29
600,27,28,11,18
601,34,17,21,7
602,23,34,24,6
603,27,36,13,1
604,28,39,30,19
605,27,27,3,5
606,27,20,20,17
607,34,33,15,27
608,31,33,8,14
609,29,27,26,22
610,21,35,16,21
611,43,22,23,9
612,25,32,28,4
613,28,32,29,6
614,19,27,10,24
615,36,31,25,22
616,27,18,13,7
617,31,27,9,18
618,31,32,30,5
619,28,27,1,17
620,29,34,3,19
621,23,31,20,12
622,38,39,15,27
623,33,30,8,24
624,26,28,26,11
625,28,30,23,21
626,25,29,2,3
627,33,13,16,17
628,33,28,28,4
629,34,34,14,7
630,29,37,25,6
631,36,31,9,19
632,33,25,12,1
633,23,33,30,20
634,32,37,27,10
635,26,36,5,21
636,37,27,18,24
637,25,28,29,22
638,31,27,13,8
639,27,31,26,11
640,34,15,16,17
641,33,28,4,3
642,27,36,12,15
643,29,32,28,1
644,36,29,18,6
645,31,23,29,23
646,32,21,25,7
647,19,28,9,20
648,32,31,13,11
649,33,20,5,10
650,27,28,2,21
651,38,35,27,26
652,35,34,8,22
653,26,27,25,7
654,42,31,14,23
655,28,23,4,3
656,25,24,17,12
657,30,28,6,19
658,33,25,20,28
659,28,27,30,10
660,32,35,1,16
661,28,32,18,29
662,36,29,15,24
663,37,38,14,11
664,27,33,17,28
665,30,34,27,2
666,33,25,8,25
667,29,26,13,23
668,33,26,20,30
669,28,36,7,1
670,36,39,11,4
671,33,26,15,6
672,24,38,19,16
673,31,27,21,12
674,26,22,29,13
675,37,30,8,18
676,32,34,14,26
677,31,43,9,5
678,30,22,3,10
679,28,32,18,28
680,28,32,24,2
681,23,33,25,23
682,24,31,22,19
683,43,36,1,20
684,28,19,6,10
685,19,29,7,16
686,37,36,27,13
687,37,29,8,12
688,21,25,29,2
689,25,34,14,15
690,29,29,26,21
691,39,22,28,3
692,33,28,30,22
693,34,32,1,4
694,41,25,6,17
695,21,29,18,11
696,26,23,24,12
697,33,37,26,23
698,27,29,16,19
699,26,22,28,20
700,22,23,7,13
701,26,33,8,21
702,26,29,24,15
703,28,29,10,2
704,20,35,25,14
705,30,32,9,17
706,32,18,22,3
707,33,29,5,1
708,33,25,11,18
709,25,36,29,4
710,35,34,25,27
711,27,28,26,15
712,32,38,12,5
713,22,22,16,3
714,20,28,20,6
715,33,28,19,8
716,37,31,7,30
717,25,33,24,4
718,26,32,14,13
719,31,26,22,12
720,24,35,23,2
721,37,27,11,30
722,24,27,17,8
723,25,29,19,18
724,38,39,21,1
725,29,32,10,15
726,34,27,25,29
727,22,36,26,28
728,30,32,14,27
729,25,31,3,20
730,30,37,2,9
731,32,33,4,5
732,34,25,11,6
733,22,20,24,7
734,34,29,13,27
735,36,34,12,17
736,31,30,18,15
737,29,21,16,22
738,30,31,21,6
739,32,34,10,28
740,28,30,23,8
741,24,35,2,20
742,24,36,9,11
