,AIR_TIME,DISTANCE,origin,dest
2427,160.0,1476,25,24
2428,211.0,1476,24,25
2429,166.0,1476,25,24
2437,121.0,746,30,3
2447,98.0,746,3,30
2475,188.0,1199,3,25
2529,98.0,641,26,25
2530,78.0,589,25,27
2533,85.0,589,27,25
2668,98.0,775,25,4
2669,113.0,775,4,25
2676,148.0,1337,25,20
2677,198.0,1337,20,25
2678,87.0,641,25,26
2679,104.0,641,26,25
2722,127.0,1069,25,23
2723,151.0,1069,23,25
2728,176.0,1199,3,25
2735,174.0,1476,25,24
2736,194.0,1476,24,25
2753,108.0,641,26,25
2761,181.0,1476,25,24
2786,123.0,1014,25,11
2787,156.0,1014,11,25
2840,207.0,1476,24,25
2841,182.0,1491,25,15
2842,187.0,1491,15,25
2843,78.0,641,25,26
2873,177.0,1476,25,24
2874,192.0,1476,24,25
2888,112.0,746,30,3
2901,94.0,746,3,30
2931,134.0,1199,25,3
3035,95.0,775,25,4
3036,112.0,775,4,25
3097,154.0,1337,25,20
3098,198.0,1337,20,25
3102,127.0,1132,25,6
3103,180.0,1132,6,25
3104,97.0,692,25,18
3105,101.0,692,18,25
3109,78.0,524,25,16
3110,72.0,524,16,25
3116,163.0,1201,19,25
3158,199.0,1476,24,25
3159,179.0,1476,25,24
3160,199.0,1476,24,25
3171,161.0,1201,25,19
3175,106.0,746,3,30
3186,86.0,641,25,26
3222,93.0,746,30,3
3239,100.0,641,26,25
3249,83.0,589,27,25
3251,71.0,589,25,27
3257,138.0,1199,25,3
3296,173.0,1199,3,25
3344,176.0,1476,25,24
3345,201.0,1476,24,25
3346,174.0,1476,25,24
3390,105.0,775,25,4
3391,106.0,775,4,25
3448,162.0,1337,25,20
3449,179.0,1337,20,25
3450,88.0,641,25,26
3451,90.0,641,26,25
3488,135.0,1069,25,23
3497,179.0,1476,25,24
3498,205.0,1476,24,25
3519,186.0,1491,25,15
3520,207.0,1491,15,25
3521,86.0,641,25,26
3533,106.0,746,30,3
3541,98.0,641,26,25
3558,110.0,746,3,30
3600,152.0,1069,23,25
3642,141.0,1199,25,3
3683,178.0,1476,25,24
3684,201.0,1476,24,25
3685,173.0,1476,25,24
3686,197.0,1476,24,25
3699,171.0,1199,3,25
3721,100.0,775,25,4
3722,107.0,775,4,25
3798,134.0,1132,25,6
3799,157.0,1132,6,25
3803,163.0,1337,25,20
3804,194.0,1337,20,25
3805,84.0,692,25,18
3806,104.0,692,18,25
3813,74.0,563,25,29
3814,91.0,563,29,25
3815,82.0,641,25,26
3824,163.0,1201,25,19
3851,179.0,1476,25,24
3852,189.0,1476,24,25
3858,176.0,1476,25,24
3863,166.0,1199,3,25
3876,98.0,641,26,25
3908,80.0,589,27,25
3915,100.0,746,3,30
3924,121.0,746,30,3
3975,151.0,1201,19,25
3987,80.0,589,25,27
4052,88.0,524,25,16
4053,65.0,524,16,25
4057,143.0,1154,25,21
4058,149.0,1154,21,25
4082,192.0,1476,24,25
4087,140.0,1199,25,3
4115,176.0,1476,25,24
4116,190.0,1476,24,25
4136,97.0,775,25,4
4137,122.0,775,4,25
4210,158.0,1337,25,20
4211,181.0,1337,20,25
4212,81.0,641,25,26
4213,103.0,641,26,25
4239,103.0,641,26,25
4242,130.0,1132,25,6
4243,155.0,1132,6,25
4254,121.0,746,30,3
4271,183.0,1476,25,24
4272,139.0,1069,25,23
4273,146.0,1069,23,25
4276,174.0,1476,25,24
4277,189.0,1476,24,25
4281,196.0,1476,24,25
4288,118.0,1014,25,11
4289,144.0,1014,11,25
4336,90.0,746,3,30
4340,199.0,1476,25,24
4341,193.0,1476,24,25
4384,178.0,1491,25,15
4385,195.0,1491,15,25
4386,81.0,641,25,26
4471,135.0,1199,25,3
4517,171.0,1199,3,25
4585,97.0,775,25,4
4586,112.0,775,4,25
4638,63.0,455,25,7
4639,65.0,455,7,25
4642,157.0,1337,25,20
4643,181.0,1337,20,25
4644,88.0,692,25,18
4645,96.0,692,18,25
4678,198.0,1476,24,25
4682,174.0,1476,25,24
4683,204.0,1476,24,25
4684,82.0,641,25,26
4686,181.0,1491,25,15
4687,202.0,1491,15,25
4693,177.0,1476,25,24
4694,202.0,1476,24,25
4695,76.0,589,25,27
4696,83.0,589,27,25
4724,94.0,746,3,30
4763,134.0,1199,25,3
4793,131.0,1069,25,23
4795,96.0,641,26,25
4796,149.0,1069,23,25
4799,114.0,1014,25,11
4800,150.0,1014,11,25
4810,172.0,1476,25,24
4845,116.0,746,30,3
4871,170.0,1199,3,25
4968,100.0,775,25,4
4969,104.0,775,4,25
5006,160.0,1337,25,20
5007,194.0,1337,20,25
5008,89.0,692,25,18
5009,94.0,692,18,25
5017,79.0,524,25,16
5018,65.0,524,16,25
5027,167.0,1201,19,25
5049,99.0,641,26,25
5052,76.0,563,25,29
5053,86.0,563,29,25
5064,80.0,589,25,27
5067,84.0,589,27,25
5073,163.0,1476,25,24
5074,197.0,1476,24,25
5075,78.0,641,25,26
5136,101.0,746,3,30
5150,90.0,524,25,16
5151,68.0,524,16,25
5177,148.0,1201,25,19
5194,202.0,1476,24,25
5199,168.0,1476,25,24
5200,199.0,1476,24,25
5201,172.0,1476,25,24
5258,164.0,1199,3,25
5261,137.0,1154,25,21
5262,157.0,1154,21,25
5268,112.0,746,30,3
5298,139.0,1199,25,3
5349,99.0,775,25,4
5350,113.0,775,4,25
5415,157.0,1337,25,20
5416,198.0,1337,20,25
5417,83.0,641,25,26
5418,99.0,641,26,25
5461,130.0,1069,25,23
5462,147.0,1069,23,25
5472,171.0,1199,3,25
5491,177.0,1491,25,15
5492,212.0,1491,15,25
5502,97.0,641,26,25
5554,150.0,1337,25,20
5555,190.0,1337,20,25
5578,135.0,1199,25,3
5586,106.0,746,30,3
5595,121.0,1014,25,11
5596,147.0,1014,11,25
5606,173.0,1476,25,24
5607,198.0,1476,24,25
5643,86.0,641,25,26
5646,100.0,746,3,30
5671,179.0,1476,25,24
5672,199.0,1476,24,25
5731,173.0,1476,25,24
5732,201.0,1476,24,25
5823,101.0,775,25,4
5824,106.0,775,4,25
5841,135.0,1132,25,6
5842,157.0,1132,6,25
5843,95.0,692,25,18
5844,98.0,692,18,25
5866,166.0,1476,25,24
5890,168.0,1476,25,24
5891,205.0,1476,24,25
5915,108.0,746,30,3
5927,93.0,746,3,30
5932,161.0,1201,19,25
5969,87.0,589,27,25
5970,86.0,641,25,26
5981,141.0,1199,25,3
5988,80.0,524,25,16
5989,68.0,524,16,25
5996,201.0,1476,24,25
6018,92.0,641,26,25
6042,178.0,1476,25,24
6043,201.0,1476,24,25
6067,75.0,589,25,27
6086,153.0,1201,25,19
6096,164.0,1199,3,25
6137,101.0,775,25,4
6138,106.0,775,4,25
6183,155.0,1337,25,20
6184,192.0,1337,20,25
6185,87.0,641,25,26
6186,96.0,641,26,25
6211,203.0,1476,24,25
6228,91.0,746,3,30
6233,170.0,1476,25,24
6234,200.0,1476,24,25
6235,176.0,1476,25,24
6278,174.0,1476,25,24
6279,196.0,1476,24,25
6301,95.0,641,26,25
6313,174.0,1199,3,25
6324,151.0,1069,23,25
6330,112.0,746,30,3
6339,130.0,1069,25,23
6340,90.0,641,25,26
6380,135.0,1199,25,3
6402,172.0,1491,25,15
6403,198.0,1491,15,25
6467,104.0,775,25,4
6468,107.0,775,4,25
6535,144.0,1132,25,6
6536,161.0,1132,6,25
6541,160.0,1337,25,20
6542,190.0,1337,20,25
6543,93.0,692,25,18
6544,99.0,692,18,25
6579,174.0,1199,3,25
6580,144.0,1201,25,19
6599,204.0,1476,24,25
6610,142.0,1199,25,3
6619,88.0,589,27,25
6714,84.0,524,25,16
6715,70.0,524,16,25
6744,81.0,563,25,29
6745,90.0,563,29,25
6750,96.0,641,26,25
6769,95.0,746,3,30
6786,167.0,1201,19,25
6787,90.0,641,25,26
6791,135.0,1154,25,21
6792,159.0,1154,21,25
6794,169.0,1476,25,24
6795,203.0,1476,24,25
6816,172.0,1476,25,24
6817,209.0,1476,24,25
6818,175.0,1476,25,24
6820,76.0,589,25,27
6852,114.0,746,30,3
6926,101.0,775,25,4
6927,111.0,775,4,25
6948,165.0,1337,25,20
6949,192.0,1337,20,25
6950,92.0,641,25,26
6951,97.0,641,26,25
7010,173.0,1476,25,24
7015,177.0,1476,25,24
7016,201.0,1476,24,25
7039,139.0,1199,25,3
7068,134.0,1069,25,23
7069,144.0,1069,23,25
7096,129.0,746,30,3
7140,186.0,1476,25,24
7141,200.0,1476,24,25
7160,173.0,1199,3,25
7180,128.0,1014,25,11
7181,138.0,1014,11,25
7193,94.0,641,26,25
7196,72.0,455,25,7
7197,62.0,455,7,25
7225,203.0,1476,24,25
7226,180.0,1491,25,15
7227,203.0,1491,15,25
7228,84.0,641,25,26
7259,94.0,746,3,30
7316,100.0,775,25,4
7317,111.0,775,4,25
7370,168.0,1337,25,20
7371,192.0,1337,20,25
7372,94.0,692,25,18
7373,96.0,692,18,25
7383,140.0,1132,25,6
7384,156.0,1132,6,25
7393,158.0,1069,23,25
7425,164.0,1476,25,24
7450,132.0,1069,25,23
7490,121.0,746,30,3
