,home,away,hometeam,awayteam
904,6,15,22,12
905,19,8,20,19
906,15,11,15,8
907,9,16,23,3
908,10,9,29,27
909,13,8,17,24
910,16,14,1,2
911,8,6,5,30
912,20,6,7,14
913,18,9,6,28
914,16,18,21,26
915,15,17,10,18
916,20,7,25,11
917,13,11,8,13
918,13,3,4,9
919,10,15,23,16
920,12,9,20,3
921,6,9,19,22
922,13,6,1,30
923,12,14,2,17
924,15,10,28,5
925,9,16,11,8
926,6,13,15,14
927,11,15,21,26
928,12,11,7,12
929,10,8,29,27
930,12,12,10,25
931,11,9,13,18
932,9,9,4,24
933,14,12,9,5
934,16,10,3,6
935,7,15,16,23
936,20,15,20,2
937,11,17,11,15
938,26,9,17,22
939,11,16,21,14
940,11,9,25,19
941,14,9,30,28
942,25,12,7,23
943,10,8,27,12
944,14,9,10,13
945,9,10,4,22
946,12,13,1,25
947,9,14,3,2
948,12,17,16,20
949,7,20,5,24
950,17,9,21,29
951,8,11,8,15
952,10,10,10,19
953,10,14,26,13
954,10,14,14,18
955,14,12,30,28
956,14,6,6,9
957,13,9,16,1
958,15,8,27,11
959,17,18,17,23
960,14,20,26,18
961,15,12,7,24
962,10,16,5,12
963,11,18,14,10
964,12,8,2,4
965,11,16,22,25
966,13,11,11,27
967,14,11,21,29
968,21,15,3,20
969,12,18,13,15
970,12,16,6,3
971,15,16,12,23
972,8,22,30,17
973,16,9,16,1
974,13,10,8,28
975,16,11,26,19
976,10,15,9,25
977,9,10,22,17
978,11,12,20,4
979,11,15,18,23
980,7,15,11,2
981,17,20,21,10
982,19,15,7,29
983,7,9,14,15
984,12,12,30,1
985,18,11,3,25
986,8,9,16,6
987,13,16,19,7
988,15,8,8,5
989,20,15,24,21
990,6,13,13,28
991,7,8,9,4
992,18,6,12,11
993,16,13,22,29
994,19,14,17,2
995,18,15,15,10
996,10,13,26,20
997,11,15,23,25
998,7,15,30,1
999,14,18,16,6
1000,9,16,18,2
1001,13,13,27,8
1002,13,10,14,28
1003,10,7,13,20
1004,17,9,4,29
1005,11,9,9,12
1006,13,11,22,16
1007,10,20,1,3
1008,16,15,11,5
1009,10,15,15,7
1010,12,9,19,21
1011,23,21,10,17
1012,13,15,24,26
1013,12,17,8,2
1014,10,7,4,6
1015,11,6,23,30
1016,19,10,19,25
1017,10,10,27,21
1018,12,11,14,20
1019,14,10,9,12
1020,4,12,1,18
1021,14,16,16,29
1022,12,12,7,15
1023,11,12,11,3
1024,19,4,10,24
1025,21,15,26,17
1026,6,14,4,6
1027,7,10,30,9
1028,12,6,28,8
1029,11,18,19,14
1030,11,12,21,2
1031,22,10,27,22
1032,8,12,24,17
1033,17,15,25,20
1034,14,17,6,23
1035,13,18,16,15
1036,16,18,5,26
1037,8,11,11,14
1038,12,12,18,3
1039,15,17,27,7
1040,16,17,13,10
1041,12,8,9,8
1042,14,13,2,26
1043,14,13,28,21
1044,11,22,17,12
1045,13,8,24,22
1046,5,10,4,23
1047,16,11,1,10
1048,4,8,6,30
1049,11,18,5,18
1050,11,12,11,19
1051,20,14,27,15
1052,14,15,25,3
1053,5,16,14,7
1054,9,12,20,8
1055,6,10,13,22
1056,12,15,12,23
1057,9,5,28,18
1058,13,22,30,26
1059,17,10,5,16
1060,18,13,15,10
1061,17,22,29,3
1062,12,12,2,8
1063,11,15,21,24
1064,14,5,27,1
1065,10,13,9,16
1066,9,13,11,19
1067,16,14,17,28
1068,6,12,25,13
1069,13,10,14,22
1070,10,9,4,12
1071,10,7,23,5
1072,14,14,20,18
1073,10,17,11,10
1074,10,11,15,7
1075,16,19,29,26
1076,12,10,22,30
1077,14,13,1,9
1078,9,14,2,6
1079,10,13,19,27
1080,17,18,26,3
1081,6,10,13,21
1082,4,15,30,8
1083,16,16,16,20
1084,7,11,28,12
