,home,away,hometeam,awayteam
940,27,20,25,19
941,19,17,30,28
942,18,24,7,23
943,10,9,27,12
944,23,18,10,13
945,21,15,4,22
946,13,16,1,25
947,14,21,3,2
948,30,11,16,20
949,19,21,5,24
950,9,18,21,29
951,25,24,8,15
952,18,21,10,19
953,26,19,26,13
954,20,12,14,18
955,19,10,30,28
956,10,18,6,9
957,20,26,16,1
958,19,16,27,11
959,25,31,17,23
960,22,22,26,18
961,35,20,7,24
962,22,13,5,12
963,18,15,14,10
964,18,12,2,4
965,24,28,22,25
966,25,13,11,27
967,27,22,21,29
968,22,22,3,20
969,33,11,13,15
970,20,14,6,3
971,22,35,12,23
972,11,17,30,17
973,32,17,16,1
974,19,17,8,28
975,13,11,26,19
976,14,19,9,25
977,14,32,22,17
978,18,16,20,4
979,15,22,18,23
980,17,23,11,2
981,20,14,21,10
982,17,19,7,29
983,23,22,14,15
984,14,20,30,1
985,13,22,3,25
986,22,17,16,6
987,16,14,19,7
988,7,17,8,5
989,14,20,24,21
990,24,13,13,28
991,16,19,9,4
992,20,21,12,11
993,20,20,22,29
994,11,17,17,2
995,13,23,15,10
996,24,20,26,20
997,23,20,23,25
998,14,15,30,1
999,21,17,16,6
1000,18,24,18,2
1001,13,19,27,8
1002,19,10,14,28
1003,12,24,13,20
1004,14,18,4,29
1005,18,26,9,12
1006,17,19,22,16
1007,15,10,1,3
1008,13,16,11,5
1009,20,15,15,7
1010,16,27,19,21
1011,10,9,10,17
1012,18,31,24,26
1013,18,21,8,2
1014,16,25,4,6
1015,19,19,23,30
1016,22,14,19,25
1017,14,20,27,21
1018,10,17,14,20
1019,7,15,9,12
1020,23,16,1,18
1021,31,13,16,29
1022,6,16,7,15
1023,20,19,11,3
1024,14,16,10,24
1025,11,18,26,17
1026,12,16,4,6
1027,22,11,30,9
1028,15,20,28,8
1029,13,25,19,14
1030,20,25,21,2
1031,14,16,27,22
1032,14,24,24,17
1033,14,24,25,20
1034,15,23,6,23
1035,27,9,16,15
1036,22,23,5,26
1037,12,31,11,14
1038,16,24,18,3
1039,15,32,27,7
1040,26,11,13,10
1041,10,17,9,8
1042,16,24,2,26
1043,20,18,28,21
1044,18,9,17,12
1045,17,19,24,22
1046,19,19,4,23
1047,17,14,1,10
1048,17,16,6,30
1049,26,21,5,18
1050,17,22,11,19
1051,22,14,27,15
1052,22,29,25,3
1053,19,15,14,7
1054,25,12,20,8
1055,18,19,13,22
1056,19,18,12,23
1057,17,24,28,18
1058,23,14,30,26
1059,6,19,5,16
1060,11,28,15,10
1061,17,11,29,3
1062,14,12,2,8
1063,29,17,21,24
1064,10,17,27,1
1065,14,23,9,16
1066,36,20,11,19
1067,16,9,17,28
1068,22,19,25,13
1069,26,13,14,22
1070,23,26,4,12
1071,19,24,23,5
1072,24,24,20,18
1073,20,16,11,10
1074,20,19,15,7
1075,20,19,29,26
1076,24,18,22,30
1077,27,20,1,9
1078,18,17,2,6
1079,19,11,19,27
1080,14,16,26,3
1081,12,13,13,21
1082,12,19,30,8
1083,21,20,16,20
1084,29,21,28,12
1085,20,15,7,10
1086,17,22,5,23
1087,28,17,15,11
1088,13,13,17,27
1089,24,22,18,1
1090,26,24,29,25
1091,36,15,14,24
1092,18,20,22,20
1093,24,20,2,6
1094,14,11,19,4
1095,15,10,13,21
1096,14,13,3,12
1097,19,9,30,27
1098,23,23,28,9
1099,12,13,15,11
1100,18,20,7,4
1101,25,12,29,17
1102,18,28,10,23
1103,16,11,25,5
1104,28,22,26,24
1105,20,17,14,21
1106,22,12,1,12
1107,12,23,16,2
1108,20,19,8,17
1109,16,24,24,23
1110,17,10,26,29
1111,17,8,13,19
1112,20,21,4,7
1113,19,10,14,5
1114,22,14,1,15
1115,15,13,3,27
1116,21,15,6,11
1117,22,24,22,2
1118,13,12,28,30
1119,20,24,25,21
1120,13,14,10,18
1121,28,22,9,17
1122,18,15,12,7
1123,20,24,20,11
1124,18,20,29,24
1125,19,17,8,23
1126,13,14,25,19
1127,32,22,26,18
1128,8,15,13,5
1129,9,10,30,3
1130,26,15,1,6
1131,8,18,28,16
1132,17,12,15,22
1133,23,19,21,4
1134,16,13,10,19
1135,16,23,12,17
1136,18,13,2,11
1137,12,9,20,16
1138,25,14,23,7
1139,11,24,5,14
1140,23,23,15,13
1141,19,10,21,9
1142,17,18,27,29
1143,21,8,24,18
1144,11,18,25,26
1145,9,16,17,3
1146,20,18,8,19
1147,7,18,4,5
1148,19,29,12,21
1149,23,18,23,28
1150,10,20,30,22
1151,21,13,3,29
1152,11,21,2,1
1153,11,15,6,20
1154,34,18,11,9
1155,13,15,15,13
1156,16,24,18,14
1157,15,16,10,27
1158,15,11,25,26
1159,16,11,24,8
1160,26,14,16,7
