,homones,awayones,hometwos,awaytwos,homethrees,awaythrees,hometeam,awayteam
738,22,14,30,31,10,8,21,6
739,11,13,32,34,18,12,10,28
740,16,17,28,30,18,14,23,8
741,8,15,24,35,22,10,2,20
742,24,21,24,36,14,8,9,11
743,17,16,31,32,10,16,22,5
744,16,17,38,23,7,19,1,13
745,16,27,25,28,17,9,18,26
746,17,22,31,29,8,11,19,30
747,12,20,38,42,10,8,27,24
748,34,15,26,35,13,12,3,14
749,17,12,26,17,13,18,29,7
750,18,17,33,38,7,10,25,28
751,17,17,30,35,15,10,4,16
752,17,19,34,27,9,9,15,12
753,14,23,24,35,20,2,6,13
754,12,15,36,28,17,13,17,19
755,18,24,29,31,11,11,23,22
756,15,23,29,24,16,11,2,14
757,13,15,31,38,12,9,18,26
758,17,16,35,26,11,20,21,10
759,15,15,35,32,7,16,27,30
760,23,19,29,22,10,14,7,9
761,17,17,32,31,11,9,24,28
762,24,24,24,31,19,13,25,1
763,6,18,29,20,11,14,6,16
764,28,22,37,37,7,11,20,14
765,15,22,26,25,12,12,5,13
766,23,20,28,31,15,11,17,4
767,20,21,27,34,16,8,8,19
