,home,away,hometeam,awayteam
1100,109,117,7,4
1101,116,144,29,17
1102,120,112,10,23
1103,96,124,25,5
1104,135,127,26,24
1105,116,111,14,21
1106,143,130,1,12
1107,100,129,16,2
1108,129,106,8,17
1109,125,105,24,23
1110,121,113,26,29
1111,110,131,13,19
1112,110,104,4,7
1113,108,118,14,5
1114,119,123,1,15
1115,137,93,3,27
1116,108,91,6,11
1117,119,106,22,2
1118,114,104,28,30
1119,112,118,25,21
1120,96,99,10,18
1121,117,126,9,17
1122,104,127,12,7
1123,137,115,20,11
1124,103,117,29,24
1125,116,111,8,23
1126,90,124,25,19
1127,115,119,26,18
1128,124,112,13,5
1129,130,111,30,3
1130,120,118,1,6
1131,106,92,28,16
1132,113,108,15,22
1133,134,137,21,4
1134,120,109,10,19
1135,136,149,12,17
1136,123,114,2,11
1137,101,92,20,16
1138,116,108,23,7
1139,110,121,5,14
1140,132,141,15,13
1141,107,106,21,9
1142,117,128,27,29
1143,107,100,24,18
1144,80,120,25,26
1145,99,140,17,3
1146,88,107,8,19
1147,91,121,4,5
1148,121,117,12,21
1149,117,110,23,28
1150,109,116,30,22
1151,122,114,3,29
1152,124,107,2,1
1153,116,130,6,20
1154,121,115,11,9
1155,108,94,15,13
1156,111,123,18,14
1157,130,115,10,27
1158,114,138,25,26
1159,100,93,24,8
1160,129,122,16,7
1161,122,114,19,13
1162,108,128,4,28
1163,111,110,2,29
1164,128,107,5,15
1165,105,107,18,25
1166,132,130,1,7
1167,118,109,20,30
1168,128,102,22,9
1169,134,142,26,27
1170,109,134,11,14
1171,118,128,21,24
1172,115,105,6,12
1173,117,104,17,23
1174,112,110,8,10
1175,100,120,4,28
1176,105,118,9,16
1177,113,117,22,6
1178,128,140,30,17
1179,102,107,2,18
1180,103,101,23,3
1181,105,123,5,1
1182,124,103,11,8
1183,119,109,15,25
1184,103,121,19,26
1185,133,135,29,14
1186,136,125,10,21
1187,115,94,24,27
1188,108,123,9,2
1189,129,138,12,20
1190,134,116,1,30
1191,97,93,3,28
1192,105,92,17,5
1193,138,131,19,15
1194,123,119,7,26
1195,125,118,13,14
1196,94,118,22,6
1197,101,129,23,16
1198,129,127,27,25
1199,98,114,29,21
1200,119,115,24,8
1201,109,112,4,11
1202,115,122,12,9
1203,114,108,30,16
