project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	aliquot_id	aliquot_submitter_id	aliquot_quantity	aliquot_volume	amount	analyte_type	analyte_type_id	concentration	no_matched_normal_low_pass_wgs	no_matched_normal_targeted_sequencing	no_matched_normal_wgs	no_matched_normal_wxs	selected_normal_low_pass_wgs	selected_normal_targeted_sequencing	selected_normal_wgs	selected_normal_wxs	source_center	state
TCGA-UVM	c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab	TCGA-VD-A8KE	b4afd975-296b-4b83-b322-987e3f3212c4	TCGA-VD-A8KE-10A	26056e25-5cee-4f83-bac2-07908ca76ef2	TCGA-VD-A8KE-10A-01	c17c4f00-d7a7-43f7-a3dc-79ae3d4fdc25	TCGA-VD-A8KE-10A-01D	06d01732-acbb-475e-bfcd-25da443a82f9	TCGA-VD-A8KE-10A-01D-A39Y-01	0.94	6.7	'--	'--	'--	0.14	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UVM	c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab	TCGA-VD-A8KE	b4afd975-296b-4b83-b322-987e3f3212c4	TCGA-VD-A8KE-10A	26056e25-5cee-4f83-bac2-07908ca76ef2	TCGA-VD-A8KE-10A-01	c17c4f00-d7a7-43f7-a3dc-79ae3d4fdc25	TCGA-VD-A8KE-10A-01D	0c4498a0-c4de-49cc-b074-53d7e482d8f8	TCGA-VD-A8KE-10A-01D-A39Z-08	2.8	40.0	'--	'--	'--	0.07	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UVM	c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab	TCGA-VD-A8KE	b4afd975-296b-4b83-b322-987e3f3212c4	TCGA-VD-A8KE-10A	26056e25-5cee-4f83-bac2-07908ca76ef2	TCGA-VD-A8KE-10A-01	c17c4f00-d7a7-43f7-a3dc-79ae3d4fdc25	TCGA-VD-A8KE-10A-01D	667f5a4b-76e1-4709-b384-78bf22280855	TCGA-VD-A8KE-10A-01D-A40E-26	1.4	10.0	'--	'--	'--	0.14	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UVM	c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab	TCGA-VD-A8KE	dd0dff4e-8145-4cc1-b360-ee6645b8c8b3	TCGA-VD-A8KE-10B	305c78c4-cf61-475e-b097-0525fe28df1e	TCGA-VD-A8KE-10B-01	0cc06bc3-1ef4-429a-b078-9458d16e3b23	TCGA-VD-A8KE-10B-01D	d2a0b6c4-e92f-4e51-903d-f9a589333178	TCGA-VD-A8KE-10B-01D-A76S-36	2.25	15.0	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	true	'--	23	released
TCGA-CESC	c92696ba-f549-480d-8d4a-5f23b27aa336	TCGA-C5-A907	a1191820-1a2e-4a89-ac61-006d22b52d15	TCGA-C5-A907-10A	b64a431a-32da-4901-b255-1f82025655f7	TCGA-C5-A907-10A-01	ad335af4-937e-40c0-bb19-d91e6fb65bd1	TCGA-C5-A907-10A-01D	18479c1a-096a-4a78-8588-ba803eb37ba4	TCGA-C5-A907-10A-01D-A91C-36	2.0	50.0	'--	'--	'--	0.04	false	false	false	false	false	false	false	false	23	released
TCGA-CESC	c92696ba-f549-480d-8d4a-5f23b27aa336	TCGA-C5-A907	a1191820-1a2e-4a89-ac61-006d22b52d15	TCGA-C5-A907-10A	b64a431a-32da-4901-b255-1f82025655f7	TCGA-C5-A907-10A-01	ad335af4-937e-40c0-bb19-d91e6fb65bd1	TCGA-C5-A907-10A-01D	3e1d5fd0-73b5-4b18-991b-17e2e46ecf33	TCGA-C5-A907-10A-01D-A37N-09	3.6	40.0	'--	'--	'--	0.09	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-CESC	c92696ba-f549-480d-8d4a-5f23b27aa336	TCGA-C5-A907	a1191820-1a2e-4a89-ac61-006d22b52d15	TCGA-C5-A907-10A	b64a431a-32da-4901-b255-1f82025655f7	TCGA-C5-A907-10A-01	ad335af4-937e-40c0-bb19-d91e6fb65bd1	TCGA-C5-A907-10A-01D	ada8c2e5-35eb-4bdd-aa54-ec9285f2fbc3	TCGA-C5-A907-10A-01D-A37M-01	1.14	6.7	'--	'--	'--	0.17	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-CESC	c92696ba-f549-480d-8d4a-5f23b27aa336	TCGA-C5-A907	a1191820-1a2e-4a89-ac61-006d22b52d15	TCGA-C5-A907-10A	b64a431a-32da-4901-b255-1f82025655f7	TCGA-C5-A907-10A-01	bd96aee3-987f-4ee0-be94-62cf3d9d5dbd	TCGA-C5-A907-10A-01W	a973309d-e507-4493-bcbd-88d75490f904	TCGA-C5-A907-10A-01W-A44N-09	40.0	80.0	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-CESC	c92696ba-f549-480d-8d4a-5f23b27aa336	TCGA-C5-A907	b5495329-a954-4bee-ae9c-9bc909acd1c1	TCGA-C5-A907-01A	5bbd5ffe-fd71-4d4d-a3fe-407935aca829	TCGA-C5-A907-01A-11	c126b464-e653-408f-beec-c7131e066d9e	TCGA-C5-A907-01A-11D	0e2bdb7e-325f-4312-a9ef-325243d34f4f	TCGA-C5-A907-01A-11D-A37N-09	3.6	40.0	'--	'--	'--	0.09	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-CESC	c92696ba-f549-480d-8d4a-5f23b27aa336	TCGA-C5-A907	b5495329-a954-4bee-ae9c-9bc909acd1c1	TCGA-C5-A907-01A	5bbd5ffe-fd71-4d4d-a3fe-407935aca829	TCGA-C5-A907-01A-11	c126b464-e653-408f-beec-c7131e066d9e	TCGA-C5-A907-01A-11D	4bf3bf35-46c9-4f3b-beab-282f949e19bc	TCGA-C5-A907-01A-11D-A37M-01	1.14	6.7	'--	'--	'--	0.17	'--	'--	'--	'--	'--	'--	'--	'--	23	released
