originnum,destnum,indices,dist,Dmean,originlon,originlat,destlon,destlat
5,52,[309 1015 1820 2155 2961 3690 4510 4907 5733 6389 7299 7612 8489 8940 9826 10574 11375 11744 12623 13475 14166 15019 15374 16199 16920 17712 18094 18966 19724 20535 20900 21744 22434 23298 23676 25473 26180 27024 27451 28116 29061 29875 30327 31128 31899 32535 33543 33869 33956 34168 34270 34372 34466 34604 34654 34749 34878 34909 35037 35155 35215 35310 35595 35694 35797 36061 36183 36444 36891 37184 37806 37889 38460 38619 38776 39551 39630 39744 40583 40738 41057 41811 42364],1050,1.0,-72.688066,41.93851,-81.30899810791016,28.429399490356445
5,55,[1073 2431 3896 5270 6526 7837 9030 10103 10816 12106 12775 14308 15610 17105 18301 19043 20012 21278 22840 24932 26453 27688 28526 29163 30448 31400 32077],1194,1.22,-72.688066,41.93851,-80.29060363769531,25.79319953918457
6,25,[16 1061 1504 3061 3756 4193 5783 6475 7323 8576 9849 10628 11282 13275 14242 15043 16244 16659 17785 19012 19670 20205 21628 22201 22956 24109 25505 26229 27066 28185 28861 29948 30892 31849 32600 33288],1132,3.04,-88.06809997559999,30.626800537100003,-104.672996521,39.861698150635
6,52,[35787 36356 37042 37837],434,2.94,-88.06809997559999,30.626800537100003,-81.30899810791016,28.429399490356445
7,16,[35770 36344],126,2.48,-108.542999,45.807701,-111.153,45.7775
7,25,[1639 4588 7136 7455 8317 9626 11337 13383 14117 14772 15934 16944 17661 18800 19618 20242 21472 22269 22997 25186 25889 26848 28029 28888 29952 30999 31657 32458 33879 34377 36668 37434 38356 39361 40212 41580 41878],455,1.0,-108.542999,45.807701,-104.672996521,39.861698150635
8,25,[40136 41429],516,2.64,-100.74600219726562,46.772701263427734,-104.672996521,39.861698150635
9,25,[38606 39018 39537 39879 40574 41159 41433 41826 42471],665,1.0,-93.1991,36.5385,-104.672996521,39.861698150635
10,25,[34202 35361 35708 36008 36177 36606 37374 38167 39000 39905 40598 41105 42398],834,3.14,-88.915901,40.4771,-104.672996521,39.861698150635
10,52,[1092 2586 3915 5102 6719 8034 9164 9911 10895 11846 12771 14462 15704 17002 18348 19187 19848 21049 22635 24999 26536 27753 28376 29227 30385 31412 32024 32984],936,1.16,-88.915901,40.4771,-81.30899810791016,28.429399490356445
11,25,[1675 2120 2746 4239 4743 5537 7120 7535 8266 8735 9448 11278 11555 12275 12492 13128 15233 16012 17621 18007 18794 20234 20808 21537 23133 23418 24128 25307 26960 27191 28009 28811 29613 30213 30803 31874 32357 32668 33398 35405 36977 37158 37258 37452 37663 37967 38056 38250 38534 38718 39028 39293 39547 39852 39885 40446 40812 41061 41844 42209 42486 42622],1014,1.0,-86.6782,36.1245,-104.672996521,39.861698150635
11,47,[43 1644 2082 2898 3461 4312 4748 5460 6383 6962 7487 8165 8704 9445 10534 11160 12417 13148 14104 14757 15247 16048 16638 17512 17944 18665 19579 20447 20699 21556 22390 23247 23540 25226 26017 26712 27246 28083 28783 29705 30114 30812 31825],1587,1.4,-86.6782,36.1245,-115.151817,36.083361
11,52,[228 599 814 1076 1551 2026 2299 2778 3250 3572 4031 4455 4791 5029 5650 5821 6204 6495 7154 7491 7818 8455 8745 9114 9726 10149 10289 10660 11290 11736 11848 12509 12842 13199 13787 13907 14263 14696 15277 15662 15954 16399 16825 17037 17441 18045 18255 18669 19144 19565 19968 20309 20764 21217 21631 21903 22357 22554 23069 23553 24096 24214 24693 25258 25629 26040 26312 26695 27680 28045 28550 28903 29235 29629 30251 30623 30903 31277 31766 32177 32312 33005 33302 33648 33905 33977 34268 34370 34502 34661 34710 34831 34925 34989 35087 35213 35266 35380 35608 35785 35983 36220 36354 36593 36795 36895 37294 37504 37612 38454 38684 38934 39488 39616 39952 40569 40776 41096 41756 41913 42466],616,1.0,-86.6782,36.1245,-81.30899810791016,28.429399490356445
11,65,[37319;;],409,2.44,-86.6782,36.1245,-87.9048,41.9786
11,69,[649 1409 2595 3339 4078 5351 6105 6836 8126 9373 10192 10978 12171 13022 13819 14602 15801 16526 17289 18521 19363 20120 21327 22121 22872 23840 25084 25807 26339 27679 28657 29438 30767 31513 33233 34445 36391],675,5.38,-86.6782,36.1245,-75.241096,39.871899
12,52,[37 693 856 1464 1530 2045 2548 2709 3328 3511 4133 4273 4641 5278 5440 6068 6345 6825 7094 8077 8419 8871 9376 9686 10218 10344 11043 11098 11643 12187 12578 13042 13166 13830 14128 14557 14919 15364 15819 16122 16586 16745 17312 17532 17908 18573 18839 19386 19665 20152 20295 20783 21321 21670 22100 22212 22919 23219 23599 24641 24663 25078 25355 25838 26097 26633 26697 27313 27838 27917 28637 28735 29676 30238 30716 30926 31556 31633 32269 32393 32959 33822 33952 34062 34381 35571 36469 36742 38545 38932 39253 39492 39866 40009 40332 40748 40853 41094 41278 41570 41734 41946 42280 42333 42406 42756],1121,1.0,-71.0079,42.36197,-81.30899810791016,28.429399490356445
12,55,[91 1536 2123 2815 4354 4853 5399 7170 7469 8219 8837 9692 11633 12327 13354 14674 15227 15878 17423 17948 18783 20386 20801 21460 23234 23534 25177 26829 27250 27943 28750 29766 30149 31035 31802 32317 32740 33492 35498 35923 36159 36563 39756 40736 41419 41693 42180 42411],1258,1.0,-71.0079,42.36197,-80.29060363769531,25.79319953918457
12,76,[595 1287 2494 3080 3851 5035 5949 6630 7760 9264 9982 10748 11881 12989 13711 14302 15630 16302 17113 18295 19158 19824 21075 21880 22694 24779 25590 26353 27562 28607 29131 30615 31317 32006 33035],612,1.98,-71.0079,42.36197,-78.787498,35.877602
13,25,[34241 41803],1639,2.94,-73.153297,44.471901,-104.672996521,39.861698150635
13,52,[249 1547 1990 2742 4398 4685 5525 6938 8225 8854 9494 11347 11695 12404 13133 15281 16124 17534 17922 18775 20420 20732 21626 23217 23503 25290 26701 27303 28070 29839 30077 30962 32325 33323 35606 36218 36656 37488 38380 39315 40290 41575],1194,1.0,-73.153297,44.471901,-81.30899810791016,28.429399490356445
14,25,[8129 9411 36884 37232 37774 38054 38416 38958 39500 39876 40236 40917 41240 41651 42143 42685],1359,1.44,-78.732201,42.940498,-104.672996521,39.861698150635
14,52,[278 658 1010 1466 1829 2550 3041 3399 3698 4135 4542 5280 5701 6070 6415 6827 7271 7618 8042 8499 8890 9378 9796 10220 10550 11045 11415 13044 13429 13802 14198 14559 14993 15821 16185 16588 16863 17276 17724 18126 18552 18941 19388 19709 20094 20572 21323 21730 22097 22439 22921 23266 23871 24652 25080 25461 25840 26163 26635 27032 27840 28201 28639 29084 29459 29923 30267 30705 31558 31931 32271 32883 32961 33509 33828 34048 34104 34204 34375 34470 35327 35657 35760 35904 36290 36330 36569 36889 37804 38458 38617 38945 39549 39642 39950 40525 40688 41082 41789 41948 42404],1011,1.0,-78.732201,42.940498,-81.30899810791016,28.429399490356445
14,78,[100 885 1764 2090 2772 3421 4479 4663 5471 6234 6928 7450 8184 8842 9552 10369 11324 11519 12569 13242 14007 14944 15187 16090 16821 17600 17874 18746 19511 20450 20791 21492 22290 23057 23622 23941 25383 26110 26856 27323 27962 28824 29571 30035 30896 31672 32471 32788 33386],1144,2.68,-78.732201,42.940498,-81.75520324707031,26.53619956970215
14,93,[9 939 1774 2128 2922 3614 4294 4657 5603 6239 7162 7557 8197 8785 9502 10513 11263 12521 13317 14036 14847 15251 16697 17993 18871 19508 20325 20824 21412 22399 23156 23471 24092 25366 26130 26778 27262 27934 28740 29627 30225 30947 31807 32515 32810 33369],1053,1.02,-78.732201,42.940498,-82.533203,27.9755
15,25,[29 845 1588 2086 2801 3478 4335 4630 5433 6343 7166 7553 8209 8810 9739 10355 11118 11656 12384 13247 13956 14805 15170 15971 17581 17888 18623 19490 20308 20736 21617 22287 23187 23519 24020 25221 25952 26747 27217 27950 28853 29672 30132 31024 31798 32522 36948 37396 37753 38138 38482 39009 39522 39960 40304 41090 41492 42173 42604],1491,1.0,-76.668297,39.1754,-104.672996521,39.861698150635
15,52,[898 1606 2028 2767 3637 4325 4837 5516 6293 7084 7614 8190 8747 9648 10444 11177 11680 12290 12511 13373 13993 14736 15092 15956 16848 17708 18047 18810 20255 20652 21695 22198 23205 23555 24643 25260 26071 26981 27435 28047 28830 29678 30240 30928 31813 32395 32687 33824 33873 34003 34231 34285 34397 35972 36899 37328 37711 38196 38551 39058 39466 40011 40359 40972 41192 41608 41671 42587],787,1.54,-76.668297,39.1754,-81.30899810791016,28.429399490356445
15,55,[41663 42440],946,2.68,-76.668297,39.1754,-80.29060363769531,25.79319953918457
16,7,[36667 38355 39360 40211 41579],126,3.44,-111.153,45.7775,-108.542999,45.807701
16,25,[547 1136 2227 2253 3068 4010 4960 5093 5930 6654 7979 8815 9107 10008 10797 11833 11982 12684 12742 13717 14418 15432 15568 16274 17185 18198 18488 19203 19814 20979 21055 21839 22774 23737 24858 25652 26375 27177 27603 28724 29373 30363 30460 31610 32920 32972 33653 33995 34356 35771 36345 37143 37852 38746 39728 41013 42356],524,3.7,-111.153,45.7775,-104.672996521,39.861698150635
17,69,[41284 42119 42624],550,3.24,-80.040497,32.898602,-75.241096,39.871899
18,25,[358 1063 2236 3063 3763 4594 4951 5785 6483 7312 7688 8572 8988 9851 10630 11474 11843 12688 13529 14028 15040 15067 16246 16946 17798 18183 18633 19765 20606 20969 21630 22195 23360 23748 24111 25501 26231 27084 27461 28289 29119 29964 30354 31190 31985 32603 32909 33419 34021 34291 36686 37150 37450 37899 38312 38765 39227 39712 40481 41748],692,2.94,-91.7108,41.884701,-104.672996521,39.861698150635
18,34,[35739 36308],281,2.66,-91.7108,41.884701,-96.741152,43.585463
19,25,[581 1366 2257 3074 3932 4969 5873 6725 7773 9229 10032 10825 11879 12744 13565 14464 15695 16280 17063 18430 19032 19845 21142 21924 22657 24279 24889 25568 26251 27657 28611 29139 30417 31235 32003 33114 33708 35333 35677 35979 36282 36518 36787 36855 37345 37515 37629 38032 38414 38577 39002 39130 39419 39578 39907 40131 40259 40350 40535 40659 40961 41069 41319 41523 41732 42062 42106 42515 42626],1201,1.0,-81.8498,41.411701,-104.672996521,39.861698150635
19,33,[1270 2269 3892 5257 6705 7954 9137 10959 12019 12958 14361 15526 16975 18424 19934 21150 22724 24846 26547 27749 29390 30439 32058],1062,1.0,-81.8498,41.411701,-80.152702,26.072599
